"X."	"tissue_type"	"response_component_original"	"response_comp_orig_cnt"	"response_component"	"response_comp_cnt"	"cell_ontology_id"	"pro_ontology_id"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"baseline_time"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"cohort"	"adjuvant"	"route"	"publication_reference"	"publication_year"	"signature_source"	"signature_source_url"	"comments"	"short_comment"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subm_obs_id"	"uniq_obs_id"	"row_key"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+ IL2+ BCL2+"	"1"	"CD4-positive, alpha-beta memory T cell & IL2+, BCL2+, VZV-specific"	"1"	"CL_0000897"	"PR:000001379, PR_000002307 "	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d vs 0d"	"young adults (25-40)"	""	""	"28607114"	"2017"	"Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"8"	"145"	"28607114_8_145"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+ IL2+ BCL2+"	"1"	"CD4-positive, alpha-beta memory T cell & IL2+, BCL2+, VZV-specific"	"1"	"CL_0000897"	"PR:000001379, PR_000002307 "	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"30d vs 0d"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"9"	"146"	"28607114_9_146"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+ IL2+ BCL2+"	"1"	"CD4-positive, alpha-beta memory T cell & IL2+, BCL2+, VZV-specific"	"1"	"CL_0000897"	"PR:000001379, PR_000002307 "	"cell type frequency"	"down"	"none"	"180"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d vs 0d"	"young adults (25-40)"	""	""	"28607114"	"2017"	"Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"10"	"147"	"28607114_10_147"
""	"peripheral blood mononuclear cell"	"memory T cells VZV-specific CD4+ IL2+ BCL2+"	"1"	"CD4-positive, alpha-beta memory T cell & IL2+, BCL2+, VZV-specific"	"1"	"CL_0000897"	"PR:000001379, PR_000002307 "	"cell type frequency"	"up"	"none"	"180"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	""	"180d vs 0d"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 1b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F1/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"11"	"148"	"28607114_11_148"
""	"peripheral blood mononuclear cell"	"T cells Dual-function VZV-specific CD8+"	"1"	"CD8-positive, alpha-beta T cell & dual-function, VZV-specific"	"1"	"CL_0000625"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"7d vs 0d"	"young adults (25-40)"	""	""	"28607114"	"2017"	"Fig 2b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F2/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults"	"25"	"40"	"years"	"12"	"149"	"28607114_12_149"
""	"peripheral blood mononuclear cell"	"VZV-specific CD8+ CD69+ CD57+ cells"	"1"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"1"	"CL_0000625"	"PR:000001343"	"cell type frequency"	"up"	"none"	"0"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"old adults vs young adults"	"adults (25-80)"	""	""	"28607114"	"2017"	"Fig 3a-b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"13"	"150"	"28607114_13_150"
""	"peripheral blood mononuclear cell"	"VZV-specific CD8+ CD69+ PD1+ cells"	"1"	"CD8-positive, alpha-beta T cell & CD69+, PD-1+, VZV-specific"	"1"	"CL_0000625"	"PR:000001343, PR:000001919"	"cell type frequency"	"up"	"none"	"0"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"old adults vs young adults"	"adults (25-80)"	""	""	"28607114"	"2017"	"Fig 3a-b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"14"	"151"	"28607114_14_151"
""	"peripheral blood mononuclear cell"	"VZV-specific CD8+ CD69+ CD57+ cells"	"1"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"1"	"CL_0000625"	"PR:000001343"	"cell type frequency"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"old adults vs young adults"	"adults (25-80)"	""	""	"28607114"	"2017"	"Fig 3b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"15"	"152"	"28607114_15_152"
""	"peripheral blood mononuclear cell"	"VZV-specific CD8+ CD69+ CD57+ cells"	"1"	"CD8-positive, alpha-beta T cell & CD69+, VZV-specific, CD57+"	"1"	"CL_0000625"	"PR:000001343"	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"old adults vs young adults"	"adults (25-80)"	""	""	"28607114"	"2017"	"Fig 3b"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F3/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"adults, seniors"	"25"	"80"	"years"	"16"	"153"	"28607114_16_153"
""	"peripheral blood mononuclear cell"	"VZV-specific CD4+ CD69+ CD57+ PD1+ cells"	"1"	"CD4-positive, alpha-beta T cell & CD69+, PD-1+, CD57+, VZV-specific"	"1"	"CL_0000624"	"PR:000001343, PR:000001919"	"cell type frequency"	"positive"	"older adults"	"30"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"30d vs 0d, significantly negatively correlated with gain in VZV-specific RCF post-vaccination"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"17"	"154"	"28607114_17_154"
""	"peripheral blood mononuclear cell"	"cytotoxic T lymphocytes VZV-specific CD8+ IFNg+ CD107a+"	"1"	"CD8-positive, alpha-beta cytotoxic T cell & CD107a+, IFNg+, VZV-specific"	"1"	"CL_0000794"	"PR:000002060, PR:000000017"	"cell type frequency"	"positive"	"older adults"	"7"	"days"	"time of vaccination (first dose)"	"human alphaherpesvirus 3"	""	"Zostavax"	"VO_0000124"	"ex-vivo restimulation with live VZV"	"7d vs 0d, significantly correlated with decrease in VZV-specific CD8+CD69+CD57+PD1+"	"senior adults (60-80)"	""	""	"28607114"	"2017"	"Fig 4"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/figure/F4/"	""	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5505810/"	"seniors"	"60"	"80"	"years"	"18"	"155"	"28607114_18_155"
""	"blood"	"neutrophil; monocyte"	"2"	"neutrophil; monocyte"	"2"	"CL_0000775"	""	"cell type frequency"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"1d vs 0d"	"adults (18-49)"	"AS03 (VO_0001320)"	""	"28099485"	"2017"	"Fig A212-213 and Tables A161-A162 in S2 Text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/#pone.0167488.s012"	"-taken subcutaneous"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"1"	"156"	"28099485_1_156"
""	"blood"	"monocyte; dendritic cell"	"2"	"monocyte; dendritic cell"	"2"	"CL_0000576"	""	"cell type frequency"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/Indonesia/5/2005(H5N1))"	"2005mv"	"inactivated monovalent influenza A/Indonesia/05/2005 H5N1 split-virus vaccine"	"VO_0004903"	""	"3d vs 0d"	"adults (18-49)"	"AS03 (VO_0001320)"	""	"28099485"	"2017"	"Fig A212-213 and Tables A161-A162 in S2 Text"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/#pone.0167488.s012"	"-taken subcutaneous"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5242433/"	"adults"	"18"	"49"	"years"	"2"	"157"	"28099485_2_157"
""	"blood"	"CD16+ HLA-DR++ CD14+ monocytes; CD69+ CD19+ B-cells; CXCR4+ CD8+ T-cells; CD69+ CD8+ T-cells; CCR5+ CD4+ T-cells; CD54+ CD4+ T-cells; CD69+ CD4+ T-cells"	"7"	"CD14-positive, CD16-positive monocyte & HLA-DR++; B cell & CD19+, CD69+; CD8-positive, alpha-beta T cell & CXCR4+; CD8-positive, alpha-beta T cell & CD69+; CD4-positive, alpha-beta T cell & CCR5+; CD4-positive, alpha-beta T cell & CD54+; CD4-positive, alpha-beta T cell & CD69+"	"7"	"CL_0002397"	""	"cell type frequency"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"3d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"1"	"158"	"28549970_1_158"
""	"blood"	"CD16+ CD56+ CD3- Natural Killer cells; CD16+ CD56+ CD3+ Natural Killer cells; HLA-DR+ CD4+ T-cells; HLA-DR+ CD8+ T-cells"	"4"	"natural killer cell & CD56+, CD16+; natural killer cell & CD16+, CD56+, CD3+; CD4-positive, alpha-beta T cell & HLA-DR+; CD8-positive, alpha-beta T cell & HLA-DR+"	"4"	"CL_0000623"	"PR_000001024, PR_000001483"	"cell type frequency"	"down"	"none"	"3"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"3d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"2"	"159"	"28549970_2_159"
""	"blood"	"CD69+ CD19+ B-cells; CCR3+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR4+ CD8+ T-cells"	"4"	"B cell & CD19+, CD69+; CD4-positive, alpha-beta T cell & CCR3+; CD4-positive, alpha-beta T cell & CCR5+; CD8-positive, alpha-beta T cell & CXCR4+"	"4"	"CL_0000236"	"PR_000001002, PR:000001343"	"cell type frequency"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"7d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"3"	"160"	"28549970_3_160"
""	"blood"	"HLA-DR++ CD16+ CD14+ monocytes; CCR2+ CD14+ monocytes; CD16+ CD56+ CD3+ Natural Killer cells; CD69+ CD4+ T-cells; CD25high CD4+ T-cells; HLA-DR+ CD4+ T-cells; HLA-DR+ CD8+ T-cells; CD38+ CD8+ T-cells"	"8"	"CD14-positive, CD16-positive monocyte & HLA-DR++; CD14-positive monocyte & CCR2+; natural killer cell & CD16+, CD56+, CD3+; CD4-positive, alpha-beta T cell & CD69+; CD4-positive, CD25-positive, alpha-beta regulatory T cell & CD25-hi; CD4-positive, alpha-beta T cell & HLA-DR+; CD8-positive, alpha-beta T cell & HLA-DR+; CD8-positive, alpha-beta T cell & CD38+"	"8"	"CL_0002397"	""	"cell type frequency"	"down"	"none"	"7"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"7d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"4"	"161"	"28549970_4_161"
""	"blood"	"HLA-DR++ CD16+ CD14+ monocytes; CD25+ CD4+ T-cells; CCR3+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR3+ CD4+ T-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; CCR3+ CD8+ T-cells; CD5+ CD19+ B-cells; CD69+ CD19+ B-cells"	"10"	"CD14-positive, CD16-positive monocyte & HLA-DR++; CD4-positive, CD25-positive, alpha-beta regulatory T cell; CD4-positive, alpha-beta T cell & CCR3+; CD4-positive, alpha-beta T cell & CCR5+; CD4-positive, alpha-beta T cell & CXCR3+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, CD25-positive, alpha-beta regulatory T cell; CD8-positive, alpha-beta T cell & CCR3+; B cell, CD19-positive & CD5+; B cell & CD19+, CD69+"	"10"	"CL_0002397"	""	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"30d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"5"	"162"	"28549970_5_162"
""	"blood"	"CD54+ CD4+ T-cells; CXCR4+ CD4+ T-cells; CD38+ CD8+ T-cells; CCR5+ CD14+ monocytes"	"4"	"CD4-positive, alpha-beta T cell & CD54+; CD4-positive, alpha-beta T cell & CXCR4+; CD8-positive, alpha-beta T cell & CD38+; CD14-positive monocyte & CCR5+"	"4"	"CL_0000624"	"PR:000001467"	"cell type frequency"	"down"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2009mv"	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"30d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"6"	"163"	"28549970_6_163"
""	"blood"	"CD64+ CD14+ monocytes; CCR2+ CD14+ monocytes; CCR5+ CD14+ monocytes; CD14+ monocytes; CD19+ B-cells; CD5+ CD19+ B-cells; CD69+ CD4+ T-cells; HLA-DR+ CD4+ T-cells; CCR3+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR4+ CD4+ T-cells; HLA-DR+ CD8+ T-cells; CXCR3+ CD8+ T-cells; CXCR4+ CD8+ T-cells"	"14"	"CD14-positive monocyte & CD64+; CD14-positive monocyte & CCR2+; CD14-positive monocyte & CCR5+; CD14-positive monocyte; B cell & CD19+; B cell, CD19-positive & CD5+; CD4-positive, alpha-beta T cell & CD69+; CD4-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & CCR3+; CD4-positive, alpha-beta T cell & CCR5+; CD4-positive, alpha-beta T cell & CXCR4+; CD8-positive, alpha-beta T cell & HLA-DR+; CD8-positive, alpha-beta T cell & CXCR3+; CD8-positive, alpha-beta T cell & CXCR4+"	"14"	"CL_0001054"	""	"cell type frequency"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"1d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: black bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"7"	"164"	"28549970_7_164"
""	"blood"	"HLA-DR+ CD8+ T-cells; CD69+ CD8+ T-cells; CXCR4+ CD8+ T-cells; CD19+ CD69+ B-cells; HLA-DR+ CD4+ T-cells; CD69+ CD4+ T-cells; CXCR4+ CD4+ T-cells; CCR3+ CD4+ T-cells; CD16+ CD56+ CD3+ Natural Killer cells"	"9"	"CD8-positive, alpha-beta T cell & HLA-DR+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, alpha-beta T cell & CXCR4+; B cell & CD19+, CD69+; CD4-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & CD69+; CD4-positive, alpha-beta T cell & CXCR4+; CD4-positive, alpha-beta T cell & CCR3+; natural killer cell & CD16+, CD56+, CD3+"	"9"	"CL_0000625"	""	"cell type frequency"	"down"	"none"	"1"	"day"	"time of vaccination (first dose)"	"influenza A virus (H1N1)"	""	"Influenza A (H1N1) 2009 Monovalent Vaccine (Sanofi Pasteur)"	"VO_0000160"	""	"1d vs 0d"	"adults (21-51)"	""	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"8"	"165"	"28549970_8_165"
""	"blood"	"HLA-DR++ CD16+ CD14+ monocytes; CD64+ CD14+ monocytes; CD69+ CD4+ T-cells; CD54+ CD4+ T-cells; CCR5+ CD4+ T-cells; CXCR3+ CD4+ T-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; CCR3+ CD8+ T-cells"	"9"	"CD14-positive, CD16-positive monocyte & HLA-DR++; CD14-positive monocyte & CD64+; CD4-positive, alpha-beta T cell & CD69+; CD4-positive, alpha-beta T cell & CD54+; CD4-positive, alpha-beta T cell & CCR5+; CD4-positive, alpha-beta T cell & CXCR3+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, CD25-positive, alpha-beta regulatory T cell; CD8-positive, alpha-beta T cell & CCR3+"	"9"	"CL_0002397"	""	"cell type frequency"	"up"	"none"	"3"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"3d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"9"	"166"	"28549970_9_166"
""	"blood"	"CD69+ CD19+ B-cells"	"1"	"B cell & CD19+, CD69+"	"1"	"CL_0000236"	"PR_000001002, PR:000001343"	"cell type frequency"	"down"	"none"	"3"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"3d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: grey bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"10"	"167"	"28549970_10_167"
""	"blood"	"HLA-DR++ CD16+ CD14+ monocytes; CCR2+ CD14+ monocytes; CD69+ CD4+ T-cells; HLA-DR+ CD4+ T-cells; CXCR3+ CD4+ T-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; HLA-DR+ CD8+ T-cells; CCR3+ CD8+ T-cells"	"9"	"CD14-positive, CD16-positive monocyte & HLA-DR++; CD14-positive monocyte & CCR2+; CD4-positive, alpha-beta T cell & CD69+; CD4-positive, alpha-beta T cell & HLA-DR+; CD4-positive, alpha-beta T cell & CXCR3+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, CD25-positive, alpha-beta regulatory T cell; CD8-positive, alpha-beta T cell & HLA-DR+; CD8-positive, alpha-beta T cell & CCR3+"	"9"	"CL_0002397"	""	"cell type frequency"	"up"	"none"	"7"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"7d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: black bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"11"	"168"	"28549970_11_168"
""	"blood"	"CD16+ CD56+ CD3+ Natural Killer cells"	"1"	"natural killer cell & CD16+, CD56+, CD3+"	"1"	"CL_0000623"	"PR_000001483, PR_000001024, PR:000001020 "	"cell type frequency"	"down"	"none"	"7"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"7d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: black bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"12"	"169"	"28549970_12_169"
""	"blood"	"HLA-DR++ CD16+ CD14+ monocytes; CD64+ CD14+ monocytes; CCR2+ CD14+ monocytes; CD16+ CD56+ CD3- Natural Killer cells; CXCR4+ CD4+ T-cells; CXCR4+ CD8+ T-cells; CD32+ CD19+ B-cells; CD69+ CD8+ T-cells; CD25+ CD8+ T-cells; CCR3+ CD8+ T-cells"	"10"	"CD14-positive, CD16-positive monocyte & HLA-DR++; CD14-positive monocyte & CD64+; CD14-positive monocyte & CCR2+; natural killer cell & CD56+, CD16+; CD4-positive, alpha-beta T cell & CXCR4+; CD8-positive, alpha-beta T cell & CXCR4+; B cell & CD32+, CD19+; CD8-positive, alpha-beta T cell & CD69+; CD8-positive, CD25-positive, alpha-beta regulatory T cell; CD8-positive, alpha-beta T cell & CCR3+"	"10"	"CL_0002397"	""	"cell type frequency"	"up"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"30d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: black bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"13"	"170"	"28549970_13_170"
""	"blood"	"total CD14+ monocytes; CCR5+ CD14+ monocytes; CD16+ CD56+ CD3+ Natural Killer cells; CD54+ CD4+ T-cells; CCR3+ CD4+ T-cells; CXCR4+ CD4+ T-cells; CD54+ CD8+ T-cells"	"7"	"CD14-positive monocyte & (total); CD14-positive monocyte & CCR5+; natural killer cell & CD16+, CD56+, CD3+; CD4-positive, alpha-beta T cell & CD54+; CD4-positive, alpha-beta T cell & CCR3+; CD4-positive, alpha-beta T cell & CXCR4+; CD8-positive, alpha-beta T cell & CD54+"	"7"	"CL_0001054"	""	"cell type frequency"	"down"	"none"	"30"	"days"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	""	"Pandemrix"	"VO_0000410"	""	"30d vs 0d"	"adults (21-51)"	"AS03 (VO_0001320)"	""	"28549970"	"2017"	"Fig 2: black bars"	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub#fig2"	"-taken subcutaneous"	""	"https://www.sciencedirect.com/science/article/pii/S0166354217300098?via%3Dihub"	"adults"	"21"	"51"	"years"	"14"	"171"	"28549970_14_171"
""	"peripheral blood mononuclear cell"	"plasma cells"	"1"	"plasma cell"	"1"	"CL_0000786"	""	"cell type frequency"	"up"	"none"	"1"	"day"	"time of vaccination (first dose)"	"influenza A virus (A/California/7/2009(H1N1))"	"2010"	"Pandemrix (A/California/7/09 (H1N1))"	"VO_0000410"	""	"1d vs -7d"	"adults (18-64)"	"AS03 (GSK)"	""	"26726811"	"2016"	"Fig 1C-D, Suppl Fig 5C"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/figure/F1/ https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/#SM"	"- roughly 60/40 female:male ratio, over 70% were Causasian"	""	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6485475/"	"adults, seniors"	"18"	"64"	"years"	"1"	"172"	"26726811_1_172"
