	Curator	Spot-check	curation_date	cohort	age_min	age_max	age_units	number_subjects	tissue_type	tissue_type_term_id	method	response_component	is_model	response_behavior_type	response_behavior	comparison	baseline_time_event	time_point	time_point_units	exposure_material	exposure_material_id	exposure_process	disease_name	disease_stage	publication_reference_id	publication_date	publication_reference_url	signature_source	signature_source_url	comments	curator_comments
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; MFI	granzyme B CD56dim natural killer cells; CD25 CD56dim natural killer cells		protein/cytokine levels	positively correlated	correlated with granzyme B (MFI) expression on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/	Clarify: Granzyme B expression (MFI) on CD56bright NK cells positively correlated with granzyme B expression (MFI) & CD25 (%) expression on CD56dim NK cells. 	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	25	Peripheral Blood Mononuclear Cells (PBMCs)		Spearman's correlations; MFI	TIGIT CD56dim natural killer Cells		protein/cytokine levels	negatively correlated	correlated with perforin (MFI) expression on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig 5E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/figure/F5/	Clarify: Perforin expression (MFI) on CD56bright NK cells negatively correlated with TIGIT expression (MFI) on CD56dim NK cells. 	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	TIGIT CD56bright natural killer Cells; CD38 CD56bright natural killer Cells; CD25 CD56bright natural killer Cells		protein/cytokine levels	up	moderate COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S2C	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	32	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	TIGIT CD56bright natural killer Cells; CD38 CD56bright natural killer Cells; CD25 CD56bright natural killer Cells		protein/cytokine levels	up	severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S2C	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry; hierarchical clustering	KIR2DL1 CD56dim Natural Killer Cells		protein/cytokine levels	down	moderate COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S2D	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry; hierarchical clustering	CD38 CD56dim natural killer cells; MIP-1beta CD56dim natural killer cells; CD62L CD56dim natural killer cells		protein/cytokine levels	up	moderate COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S2D	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	33	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry; hierarchical clustering	CD38 CD56dim natural killer cells; MIP-1beta CD56dim natural killer cells; CD62L CD56dim natural killer cells; NKG2C CD56dim natural killer cells		protein/cytokine levels	up	severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S2D	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry; hierarchical clustering	NKG2C CD56dim natural killer cells		protein/cytokine levels	up	severe COVID-19 patients vs moderate COVID-19 patients 	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S2D	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1		
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	33	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	Ki67+ NKG2C+ CD57+ CD56dim natural killer cells		protein/cytokine levels	up	severe COVID-19 patients vs healthy patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S4H & 4J	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC1	Measurements in % (S4H) & absolute (from NK cell counts/mL) (S4J).	
	Amani 	Simranpreet	(2021-02-14)	Stockholm, Sweden	18	78	years	26	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry	Ki67+ NKG2C+ CD57+ CD56dim natural killer cells		protein/cytokine levels	up	severe COVID-19 patients vs moderate COVID-19 patients 	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S4H	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	26	NK Cells		NK cell phenotyping 	C-Reactive Protein (CRP)		protein/cytokine levels	up	SARS-CoV-2 viremic COVID-19 patients vs non-viremic COVID-19 patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7A.	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	26	responding CD56bright NK Cells		NK cell phenotyping; percentage	perforin 		protein/cytokine levels	up	SARS-CoV-2 viremic COVID-19 patients vs non-viremic COVID-19 patients	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7A.	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	responding CD56bright NK Cells		NK cell phenotyping; percentage & MFI; Spearman's correlation	CD25 CD56bright NK cells; perforin CD56bright NK cells; perforin CD56dim NK cells; Granzyme B CD56bright NK cells		cell type frequency	positively correlated	each correlated with perforin (MFI) on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7B	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	responding CD56bright NK Cells		NK cell phenotyping; MFI; Spearman's correlation	TIGIT CD56dim NK cells		cell type frequency	negatively correlated	correlated with perforin (MFI) on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7B	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	CD56bright NK Cells		NK cell phenotyping; MFI; Spearman's correlation	Granzyme B CD56dim NK cells; CD25 CD56dim NK cells; Granzyme B CD56bright NK cells; CD25 CD56bright NK cells; Ksp37 CD56bright NK cells		cell type frequency	positively correlated	each correlated with Granzyme B (MFI) on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7C	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	CD56bright NK Cells		NK cell phenotyping; MFI; NPX; Spearman's correlation	KRT19, MCP-3, HGF, PXN, CAPG, CKAP4, NUCB2		protein/cytokine levels	positively correlated	each correlated with perforin (MFI) on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7D	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	CD56bright NK Cells		NK cell phenotyping; MFI; NPX; Spearman's correlation	TRIM 5		protein/cytokine levels	negatively correlated	correlated with perforin (MFI) on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7D	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	25	CD56bright NK Cells		NK cell phenotyping; MFI; NPX; Spearman's correlation	CKAP4		protein/cytokine levels	positively correlated	correlated with Granzyme B (MFI) on CD56bright NK cells	time of admission	0 to 8	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Fig S7E	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry 	C-Reactive Protein (CRP); D-dimer; lactate dehydrogenase; bilirubin; prothrombin complex, INR; troponin T; myoglobin		protein/cytokine levels	up	severe/critical COVID-19 patients vs moderate COVID-19 patients	before study sampling	0	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Table S2	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry 	lymphocytes, lowest		cell type frequency	down	severe/critical COVID-19 patients vs moderate COVID-19 patients	before study sampling	0	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Table S2	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry 	lymphocytes, lowest		cell type frequency	down	severe/critical COVID-19 patients vs moderate COVID-19 patients	before study sampling	1	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Table S2	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry 	D-dimer; lactate dehydrogenase; bilirubin; troponin T; myoglobin; albumin, lowest		protein/cytokine levels	up	severe/critical COVID-19 patients vs moderate COVID-19 patients	at study sampling	1	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Table S2	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry 	leukocytes, highest; leukocytes, lowest; neutrophils, highest		cell type frequency	up	severe/critical COVID-19 patients vs moderate COVID-19 patients	at study sampling	1	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Table S2	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 		(2021-02-14)	Stockholm, Sweden	18	78	years	27	Peripheral Blood Mononuclear Cells (PBMCs)		flow cytometry 	interleukin-6		protein/cytokine levels	up	severe/critical COVID-19 patients vs moderate COVID-19 patients	at study sampling	5	days	SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	32826343	(2020-08-21)	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/	Table S2	https://immunology.sciencemag.org/content/suppl/2020/08/20/5.50.eabd6832.DC2		
	Amani 	Simranpreet	(2021-02-19)	Basal & Liestal, Switzerland	53	104	years	26	formalin-fixed and paraffin-embedded (FFPE) lung tissue		DEGs of OIRRA gene expression assay 	DMBT1, TDO2, IFI6, KIAA0101, MELK, BUB1, ISG15, IFI27, PSMB9, OAS3, CDK1, HLA-G, SLAMF8, CDKN3, OAS1, OAS2, CXCL11, IDO1, FOXM1, LAMP3, IFIT3, MAD2L1, CD38, CCR1, GZMB, LAG3, IFI44L, TOP2A, MX1, CXCL9, CD276, STAT1, IFI35, IFIH1, CCL18, GBP1, IFIT2, PDCD1LG2, CXCL10, IFIT1, C1QB, CXCL13, CCNB2, BRCA2, MKI67, DDX58, SNAI2, POU2AF1, XAGE1B, C1QA, CCR5, HERC6, BST2, CMKLR1, ISG20, TNFSF18, CD163, CYBB, IFITM1, IRF4, IL21, FCGR1A, SLAMF7, GZMA, IL10, TNFRSF17, KRT5, KRT7		gene expression	up	Autopsies of COVID-19 patients vs healthy patients				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33033248	(2020-10-08)	https://www.nature.com/articles/s41467-020-18854-2	Fig 1a; Suppl Table 3.	https://www.nature.com/articles/s41467-020-18854-2#Sec24 ; https://www.nature.com/articles/s41467-020-18854-2/figures/1 	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546638/figure/Fig1/	
	Amani 	Simranpreet	(2021-02-19)	Basal & Liestal, Switzerland	53	104	years	26	formalin-fixed and paraffin-embedded (FFPE) lung tissue		DEGs of OIRRA gene expression assay 	JAML, IRS1, MLANA, IGF1R, TCF7, KLF2, KLRB1, CXCR4, CEACAM8, BCL6, CD69, PTGS2, CD226, BCL2, KLRG1, PTPRC, CCL17, CD1C, MPO, CD83, CRTAM, HLA-DQB2, RORC, TNFRSF9, IL2, CCR6, ARG1, MAGEC2, CXCR5, GAGE10		gene expression	down	Autopsies of COVID-19 patients vs healthy patients				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33033248	(2020-10-08)	https://www.nature.com/articles/s41467-020-18854-2	Fig 1a; Suppl Table 3.	https://www.nature.com/articles/s41467-020-18854-2#Sec24 ; https://www.nature.com/articles/s41467-020-18854-2/figures/2	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7546638/figure/Fig1/	
	Amani 	Simranpreet	(2021-02-19)	Basal, Switzerland	53	96	years	14	formalin-fixed and paraffin-embedded (FFPE) lung tissue		DEGs of OIRRA gene expression assay; k-means clustering	Interferon-stimulated genes (ISG) signature		gene expression	up	cluster 1 (ISG high) vs cluster 2 (ISG low)				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33033248	(2020-10-08)	https://www.nature.com/articles/s41467-020-18854-2	Fig 1d	https://www.nature.com/articles/s41467-020-18854-2/figures/1	"Clusters 1 (50% of samples) and 2 (41%) contained COVID-19 samples". "Cluster 1 or 2 were assigned ISG activation label ISGhigh and ISGlow, respectively"	
	Amani 	Simranpreet	(2021-02-19)	Basal & Liestal, Switzerland	53	104	years	33	formalin-fixed and paraffin-embedded (FFPE) lung tissue		Immunohistochemical analyses 	CD3+ T cells; CD68+ monocytes; CD163+ monocytes		cell type frequency	up	cluster 2 (ISG low) vs healthy				SARS-CoV-2.	2697049	Occurrence of infectious disease	COVID-19.	acute	33033248	(2020-10-08)	https://www.nature.com/articles/s41467-020-18854-2	Fig 3c	https://www.nature.com/articles/s41467-020-18854-2/figures/3		
