"","submission_name","submission_date","template_name","response_component","curation_date","cohort","age_min","age_max","age_units","number_subjects","tissue_type","tissue_type_term_id","response_component_original","is_model","response_behavior_type","response_behavior","comparison","baseline_time_event","time_point","time_point_units","additional_exposure_material","target_pathogen_taxonid","vaccine_year","adjuvant","route","scheduling","publication_reference_id","publication_reference_url","publication_date","signature_source","signature_source_url","comments","response_comp_orig_cnt","response_comp_cnt","subm_obs_id","uniq_obs_id","row_key","signature_file","signature_file_complete","exposure_material_id_1","exposure_material_id_2"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","GBP1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","GBP1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","RTP4","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","RTP4","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PARP14","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PARP14","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PARP9","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PARP9","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TIMM10","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TIMM10","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","STAT2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","STAT2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","DDX58","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","DDX58","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CTSL","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CTSL","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","JUP","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","JUP","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","SCO2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","SCO2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","IL1RN","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IL1RN","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MAFB","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MAFB","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","LGALS3BP","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","LGALS3BP","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","BST2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","BST2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","LAMP3","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","LAMP3","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","FBXO6","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","FBXO6","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","NTNG2","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","NTNG2","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CDKN1C","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CDKN1C","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","STAT1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","STAT1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","UBE2L6","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","UBE2L6","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TNFAIP6","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TNFAIP6","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CCR1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CCR1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","TRIM5","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","TRIM5","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","CEACAM1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","CEACAM1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","IFIT5","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFIT5","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","PARP10","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","PARP10","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","IFITM1","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","IFITM1","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
"","hipc_vac_gene_19047440_3","2008.12.03","hipc_vac_gene_19047440_3","MOV10","","Montreal","","","","","peripheral blood mononuclear cell","CL:2000001","MOV10","N","gene expression","up","7d vs 0d","time of vaccination","7","days","","11090","","","","","19047440","https://www.ncbi.nlm.nih.gov/pubmed/19047440","2008","Supplemental Document 1","<a href = 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2605227/bin/jem.20082292_1.pdf' target='_blank'>jem.20082292_1.pdf</a>","","292","292","3","32","19047440_3_32","hipc_vac_gene_sig_19047440_3.txt","hipc_vac_gene_sig_complete_19047440_3.txt","VO:0000121","VO:0003139"
