""	"response_component"	"curation_date"	"cohort"	"age_min"	"age_max"	"age_units"	"number_subjects"	"tissue_type"	"tissue_type_term_id"	"method"	"response_component_original"	"is_model"	"response_behavior_type"	"response_behavior"	"comparison"	"baseline_time_event"	"time_point"	"time_point_units"	"exposure_material_id"	"exposure_process"	"disease_name"	"disease_stage"	"publication_reference_id"	"publication_date"	"publication_reference_url"	"signature_source"	"comments"	"response_component_id"	"proterm_and_extra"	"pro_ontology_id"	"fully_qualified_response_component"	"response_comp_orig_cnt"	"response_comp_cnt"	"row_key"
""	"mature gamma-delta T cell (CD3+, CD45RA-, CD62L+)"	"2021-08-03"	"Germany"	"19"	"91"	"years"	"90"	"blood"	"UBERON:0000178"	"flow cytometry"	"TCRgammadelta central memory T cell (CD3+, CD3+, TCRgammadelta+, CD45RA-, CD62L+)"	"N"	"cell-type frequency"	"down"	"severe disease vs mild disease"	"onset of symptoms"	"first measure at 2 to 32"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 3B"	""	"CL:0000800"	"(CD3+, CD45RA-, CD62L+)"	"PR:000001020, PR:000001015, PR:000001318"	"mature gamma-delta T cell (CD3+, CD45RA-, CD62L+)"	"1"	"1"	"32650275_17_100"
""	"naive T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"2021-08-03"	"Germany"	"19"	"85"	"years"	"7"	"blood"	"UBERON:0000178"	"flow cytometry"	"conventional CD4 naive T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"N"	"cell-type frequency"	"down"	"convalescing vs pooled mild or severe disease"	"onset of symptoms"	"convalescence at 7 to 38"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 4A"	""	"CL:0000898"	"(CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001004, PR:000001380, PR:000001869, PR:000001015, PR:000001318"	"naive T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA+, CD62L-)"	"1"	"1"	"32650275_18_101"
""	"effector memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-); central memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"2021-08-03"	"Germany"	"19"	"85"	"years"	"7"	"blood"	"UBERON:0000178"	"flow cytometry"	"conventional CD4 effector/effector memory T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-); conventional CD4 T central memory cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"N"	"cell-type frequency"	"up"	"convalescing vs pooled mild or severe disease"	"onset of symptoms"	"convalescence at 7 to 38"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 4A"	""	"CL:0000905; CL:0000904"	"(CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-); (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001004, PR:000001380, PR:000001869, PR:000001015, PR:000001318"	"effector memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L-); central memory CD4-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD4+, CD25low, CD127hi, CD45RA-, CD62L+)"	"2"	"2"	"32650275_19_102"
""	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"2021-08-03"	"Germany"	"19"	"85"	"years"	"7"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"N"	"cell-type frequency"	"down"	"convalescing vs pooled mild or severe disease"	"onset of symptoms"	"convalescence at 7 to 38"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 4B"	""	"CL:0000898"	"(CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"PR:000001020, PR:000001024, PR:000001002, PR:000001084, PR:000001015, PR:000001318"	"naive T cell (CD3+, CD56-, CD19-, CD8+, CD45RA+, CD62L+)"	"1"	"1"	"32650275_20_103"
""	"effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+); central memory CD8-positive, alpha-beta T cell"	"2021-08-03"	"Germany"	"19"	"85"	"years"	"7"	"blood"	"UBERON:0000178"	"flow cytometry"	"CD8 effector/effector memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L-); CD8 central memory T cell (CD3+, CD56-, CD19-, CD8+, CD45RA-, CD62L+)"	"N"	"cell-type frequency"	"up"	"convalescing vs pooled mild or severe disease"	"onset of symptoms"	"convalescence at 7 to 38"	"days"	"2697049"	"occurrence of infectious disease"	"COVID-19"	"mild, severe"	"32650275"	"2020-07-07"	"https://www.sciencedirect.com/science/article/pii/S2352396420302607?via%3Dihub"	"Fig. 4B"	""	"CL:0000913; CL:0000907"	"(CD3+, CD56-, CD19-, CD45RA+, CD62L+); "	"PR:000001020, PR:000001024, PR:000001002, PR:000001015, PR:000001318; "	"effector memory CD8-positive, alpha-beta T cell (CD3+, CD56-, CD19-, CD45RA+, CD62L+); central memory CD8-positive, alpha-beta T cell"	"2"	"2"	"32650275_21_104"
""	"natural killer cell; natural killer cell (CD56+-)"	"2021-02-14"	"COVID-19 patients and healthy controls (Stockholm, Sweden)"	"18"	"78"	"years"	"27"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"NK cell phenotyping"	"Natural Killer cells; CD56dim Natural Killer cells"	""	"cell-type frequency"	"down"	"moderate COVID-19 patients (N=10) vs healthy controls (N=17)"	"time of admission"	"0 to 8"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 1C"	"\"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients classified as having moderate COVID-19 disease had oxygen saturation of 90 to 94% or were receiving 0.5 to 3 liters/min..."	"CL:0000623; CL_0000623"	"; (CD56+-)"	"; PR:000001024"	"natural killer cell; natural killer cell (CD56+-)"	"2"	"2"	"32826343_1_105"
""	"natural killer cell; natural killer cell (CD56++); natural killer cell (CD56+-)"	"2021-02-14"	"COVID-19 patients and healthy controls (Stockholm, Sweden)"	"18"	"78"	"years"	"33"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"NK cell phenotyping"	"Natural Killer cells; CD56bright Natural Killer cells; CD56dim Natural Killer cells"	""	"cell-type frequency"	"down"	"moderate COVID-19 patients (N=10) vs healthy controls (N=17)"	"time of admission"	"0 to 8"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 1C"	"\"COVID-19 patients were sampled 5 to 24 days after symptom debut and 0 to 8 days after being admitted to the hospital. Patients with severe COVID-19 disease were treated in an ICU or a high dependency unit, requiring either noninvasive or mechanic..."	"CL:0000623; CL_0000623"	"; (CD56++); (CD56+-)"	"; PR:000001024"	"natural killer cell; natural killer cell (CD56++); natural killer cell (CD56+-)"	"3"	"3"	"32826343_2_106"
""	"natural killer cell (NKG2C+,CD57+,CD56+-)"	"2021-02-14"	"COVID-19 patients and healthy controls (Stockholm, Sweden)"	"18"	"78"	"years"	"9"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry"	"NKG2C+ CD57+ CD56dim Natural Killer cells"	""	"cell-type frequency"	"up"	"severe COVID-19 patients vs moderate COVID-19 patients"	"time of admission"	"0 to 5"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 3B"	""	"CL_0000623"	"(NKG2C+,CD57+,CD56+-)"	"PR:000002024,PR:000001440,PR:000001024"	"natural killer cell (NKG2C+,CD57+,CD56+-)"	"1"	"1"	"32826343_3_120"
""	"natural killer cell (NKG2C-,CD57-,CD56+-)"	"2021-02-14"	"COVID-19 patients and healthy controls (Stockholm, Sweden)"	"18"	"78"	"years"	"6"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry"	"NKG2C- CD57- CD56dim Natural Killer cells"	""	"cell-type frequency"	"down"	"moderate COVID-19 patients vs healthy patients"	"time of admission"	"0 to 5"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 3C"	""	"CL_0000623"	"(NKG2C-,CD57-,CD56+-)"	"PR:000002024,PR:000001440,PR:000001024"	"natural killer cell (NKG2C-,CD57-,CD56+-)"	"1"	"1"	"32826343_4_121"
""	"natural killer cell (NKG2C-,CD57-,CD56+-)"	"2021-02-14"	"COVID-19 patients and healthy controls (Stockholm, Sweden)"	"18"	"78"	"years"	"9"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"flow cytometry"	"NKG2C- CD57- CD56dim Natural Killer cells"	""	"cell-type frequency"	"down"	"severe COVID-19 patients vs healthy patients"	"time of admission"	"0 to 5"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 3C"	""	"CL_0000623"	"(NKG2C-,CD57-,CD56+-)"	"PR:000002024,PR:000001440,PR:000001024"	"natural killer cell (NKG2C-,CD57-,CD56+-)"	"1"	"1"	"32826343_5_122"
""	"natural killer cell (CD56+-,NKG2C+,CD57+)"	"2021-08-24"	"COVID-19 patients  (Stockholm, Sweden)"	"18"	"78"	"years"	"27"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"Spearman's correlations; NPX"	"NKG2C+CD57+ CD56dim NK cells"	""	"cell-type frequency"	"positively correlated"	"soluble factor AREG"	"time of admission"	"0 to 5"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 3L"	""	"CL_0000623"	"(CD56+-,NKG2C+,CD57+)"	"PR:000001024,PR:000002024,PR:000001440"	"natural killer cell (CD56+-,NKG2C+,CD57+)"	"1"	"1"	"32826343_6_127"
""	"natural killer cell (CD56+-,NKG2C+,CD57+)"	"2021-08-24"	"COVID-19 patients (Stockholm, Sweden)"	"18"	"78"	"years"	"27"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"Spearman's correlations; NPX"	"NKG2C+CD57+ CD56dim NK cells"	""	"cell-type frequency"	"negatively correlated"	"soluble factors: LTalpha, IFNgamma, IL-12beta"	"time of admission"	"0 to 5"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 3L"	""	"CL_0000623"	"(CD56+-,NKG2C+,CD57+)"	"PR:000001024,PR:000002024,PR:000001440"	"natural killer cell (CD56+-,NKG2C+,CD57+)"	"1"	"1"	"32826343_7_128"
""	"natural killer cell (CD56++)"	"2021-02-14"	"COVID-19 patients (Stockholm, Sweden)"	"18"	"78"	"years"	"25"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"Spearman's correlations; MFI"	"CD56bright natural killer cells"	""	"cell-type frequency"	"positively correlated"	"granzyme B (MFI) expression on CD56bright NK cells"	"time of admission"	"0 to 8"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig 5E"	""	"CL_0000623"	"(CD56++)"	"PR:000001024"	"natural killer cell (CD56++)"	"1"	"1"	"32826343_8_133"
""	"natural killer cell (CD25+,CD56++); natural killer cell (CD56++,PRF1+); natural killer cell (CD56+-,PRF1+); natural killer cell (GZMB+,CD56++)"	"2021-02-14"	"COVID-19 patients (Stockholm, Sweden)"	"18"	"78"	"years"	"25"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"NK cell phenotyping; percentage & MFI; Spearman's correlation"	"CD25 CD56bright NK cells; perforin CD56bright NK cells; perforin CD56dim NK cells; Granzyme B CD56bright NK cells"	""	"cell-type frequency"	"positively correlated"	"perforin (MFI) on CD56bright NK cells"	"time of admission"	"0 to 8"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig S7B"	""	"CL_0000623"	"(CD25+,CD56++); (CD56++,PRF1+); (CD56+-,PRF1+); (GZMB+,CD56++)"	"PR:000001380,PR:000001024; PR:000001024,PR:000003466; PR:000003499,PR:000001024"	"natural killer cell (CD25+,CD56++); natural killer cell (CD56++,PRF1+); natural killer cell (CD56+-,PRF1+); natural killer cell (GZMB+,CD56++)"	"4"	"4"	"32826343_9_148"
""	"natural killer cell (TIGIT+,CD56+-)"	"2021-02-14"	"COVID-19 patients (Stockholm, Sweden)"	"18"	"78"	"years"	"25"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"NK cell phenotyping; MFI; Spearman's correlation"	"TIGIT CD56dim NK cells"	""	"cell-type frequency"	"negatively correlated"	"perforin (MFI) on CD56bright NK cells"	"time of admission"	"0 to 8"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig S7B"	""	"CL_0000623"	"(TIGIT+,CD56+-)"	"PR:000033769,PR:000001024"	"natural killer cell (TIGIT+,CD56+-)"	"1"	"1"	"32826343_10_149"
""	"natural killer cell (GZMB+,CD56+-); natural killer cell (CD25+,CD56+); natural killer cell (GZMB+,CD56++); natural killer cell (CD25+,CD56++); natural killer cell (KSP37+,CD56++)"	"2021-02-14"	"COVID-19 patients (Stockholm, Sweden)"	"18"	"78"	"years"	"25"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"NK cell phenotyping; MFI; Spearman's correlation"	"Granzyme B CD56dim NK cells; CD25 CD56dim NK cells; Granzyme B CD56bright NK cells; CD25 CD56bright NK cells; Ksp37 CD56bright NK cells"	""	"cell-type frequency"	"positively correlated"	"Granzyme B (MFI) on CD56bright NK cells"	"time of admission"	"0 to 8"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32826343"	"2020-08-21"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665314/"	"Fig S7C"	""	"CL_0000623"	"(GZMB+,CD56+-); (CD25+,CD56+); (GZMB+,CD56++); (CD25+,CD56++); (KSP37+,CD56++)"	"PR:000003499,PR:000001024; PR:000001380,PR:000001024; PR:000007502,PR:000001024"	"natural killer cell (GZMB+,CD56+-); natural killer cell (CD25+,CD56+); natural killer cell (GZMB+,CD56++); natural killer cell (CD25+,CD56++); natural killer cell (KSP37+,CD56++)"	"5"	"5"	"32826343_11_150"
""	"alpha-beta t cell (CD3+); monocyte (CD68+); monocyte (CD163+)"	"2021-02-19"	"COVID-19 patients and non-COVID-19 controls (Basel, Switzerland)"	"53"	"104"	"years"	"33"	"formalin-fixed and paraffin-embedded (FFPE) lung tissue"	"UBERON:0002048"	"Immunohistochemical analyses"	"CD3+ T cells; CD68+ monocytes; CD163+ monocytes"	""	"cell-type frequency"	"up"	"cluster 2 (ISG low) vs controls"	"death"	"11 to 67"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33033248"	"2020-10-08"	"https://www.nature.com/articles/s41467-020-18854-2"	"Fig 3c"	""	"CL_0000789; CL_0000576"	"(CD3+); (CD68+); (CD163+)"	"PR:000001020; PR:000002064; PR:000001925"	"alpha-beta t cell (CD3+); monocyte (CD68+); monocyte (CD163+)"	"3"	"3"	"33033248_1_163"
""	"alpha-beta t cell (CD3+); monocyte (CD68+); monocyte (CD163+); CD8-positive, alpha-beta T cell"	"2021-02-19"	"COVID-19 patients and non-COVID-19 controls (Basel, Switzerland)"	"53"	"96"	"years"	"33"	"formalin-fixed and paraffin-embedded (FFPE) lung tissue"	"UBERON:0002048"	"Immunohistochemical analyses"	"CD3+ T cells; CD68+ monocytes; CD163+ monocytes; CD8+ T cells"	""	"cell-type frequency"	"up"	"cluster 2 (ISG low) vs cluster 1 (ISG high)"	"death"	"11 to 67"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33033248"	"2020-10-08"	"https://www.nature.com/articles/s41467-020-18854-2"	"Fig 3c"	""	"CL_0000789; CL_0000576; CL:0000625"	"(CD3+); (CD68+); (CD163+); "	"PR:000001020; PR:000002064; PR:000001925; "	"alpha-beta t cell (CD3+); monocyte (CD68+); monocyte (CD163+); CD8-positive, alpha-beta T cell"	"4"	"4"	"33033248_2_164"
""	"CD4-positive, alpha-beta T cell; b cell (CD20+); cd8-positive, alpha-beta t cell (PD1+)"	"2021-02-19"	"COVID-19 patients and non-COVID-19 controls (Basel, Switzerland)"	"53"	"96"	"years"	"33"	"formalin-fixed and paraffin-embedded (FFPE) lung tissue"	"UBERON:0002048"	"Immunohistochemical analyses; computational image analysis"	"CD4+ T cells; CD20+ B cells; CD8+ PD1+ T cells"	""	"cell-type frequency"	"up"	"cluster 2 (ISG low) vs cluster 1 (ISG high)"	"death"	"11 to 67"	"hours"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"33033248"	"2020-10-08"	"https://www.nature.com/articles/s41467-020-18854-2"	"Fig 4a"	""	"CL:0000624; CL_0000236; CL_0000625"	"; (CD20+); (PD1+)"	"; PR:000001289; PR:000001919"	"CD4-positive, alpha-beta T cell; b cell (CD20+); cd8-positive, alpha-beta t cell (PD1+)"	"3"	"3"	"33033248_3_165"
""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2021-02-15"	"COVID-19 infected patients and age/sex-matched healthy controls"	"18"	"94"	"years"	"135"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF"	"plasmablasts of CD45 cells; effector CD8 T cells of CD8 T cells"	""	"cell-type frequency"	"up"	"COVID-19 patients (N=73) vs healthy controls (N=62)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 1b"	"-healthy: samples from asymptomatic adults prior to widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". convalescent defined as \"more tha..."	"CL_0000980; CL_0001050"	""	""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2"	"2"	"32788292_5_172"
""	"plasmacytoid dendritic cell, human"	"2021-02-15"	"COVID-19 infected patients and age/sex-matched healthy controls"	"18"	"94"	"years"	"135"	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"phospho-CyTOF"	"pDCs (plasmacytoid dendritic cells)"	""	"cell-type frequency"	"down"	"COVID-19 patients (N=73) vs healthy controls (N=62)"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig 1c"	"-healthy: samples from asymptomatic adults prior to widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". convalescent defined as \"more tha..."	"CL_0001058"	""	""	"plasmacytoid dendritic cell, human"	"1"	"1"	"32788292_6_173"
""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2021-02-15"	"COVID-19 infected patients and age/sex-matched healthy controls (from Hong Kong, China)"	"18"	"80"	"years"	""	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry"	"plasmablasts of CD45 cells; effector CD8 T cells of CD8 T cells"	""	"cell-type frequency"	"up"	"patients receiving IFN-B1 treatment vs healthy controls"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S3."	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". convalescent defined as \"more than ..."	"CL_0000980; CL_0001050"	""	""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2"	"2"	"32788292_7_206"
""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2021-02-15"	"COVID-19 infected patients and age/sex-matched healthy controls (from Hong Kong, China)"	"18"	"80"	"years"	""	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry"	"plasmablasts of CD45 cells; effector CD8 T cells of CD8 T cells"	""	"cell-type frequency"	"up"	"patients not on IFN-B1 treatment vs healthy controls"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S3."	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". convalescent defined as \"more than ..."	"CL_0000980; CL_0001050"	""	""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2"	"2"	"32788292_8_207"
""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2021-02-16"	"COVID-19 infected patients and age/sex-matched healthy controls (from Hong Kong, China)"	"18"	"80"	"years"	""	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry"	"plasmablasts of CD45 cells; effector CD8 T cells of CD8 T cells"	""	"cell-type frequency"	"up"	"patients receiving corticosteroid treatment vs healthy controls"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S3."	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". convalescent defined as \"more than ..."	"CL_0000980; CL_0001050"	""	""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2"	"2"	"32788292_9_208"
""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2021-02-16"	"COVID-19 infected patients(from Hong Kong, China)"	"18"	"80"	"years"	""	"Peripheral Blood Mononuclear Cells (PBMCs)"	"CL:2000001"	"ex-vivo stimulation of PBMCs; intracellular staining assay; flow cytometry"	"plasmablasts of CD45 cells; effector CD8 T cells of CD8 T cells"	""	"cell-type frequency"	"up"	"patients receiving vs  not receiving corticosteroid treatment"	"time of clinical onset"	"various"	"days"	"2697049"	"Occurrence of infectious disease"	"COVID-19"	"acute"	"32788292"	"2020-08-11"	"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665312/"	"Fig S3."	"-healthy: samples from asymptomatic adults before widespread SARS-CoV-2 circulation in the community. COVID-19 patients \"according to WHO guidance and positive SARS-CoV-2 RT-PCR testing by nasopharyngeal swabs\". convalescent defined as \"more than ..."	"CL_0000980; CL_0001050"	""	""	"plasmablast; effector cd8-positive, alpha-beta t cell"	"2"	"2"	"32788292_10_209"
